Date,Location,P1,P2,OT Character,RCS Character,Team,P3 Color,P3 Character,P4 Color,P4 Character,Match,Result,Wanted Form,Form,Stage,Common Notes,,,,,,,,Other Notes
,,,,,Pikachu,,,,,,21,3,Battlefield,Battlefield,Gerudo Valley,,,,,,,,,
,,,,,Captain Falcon,15,Red,Snake,Game Boy,King Dedede,22,4,Battlefield,Battlefield,Big Blue,,,,,,,,,
,,,,,Captain Falcon,16,,Isabelle,,Duck Hunt,23,4,Battlefield,Battlefield,Super Mario Maker,,,,,,,,,
,,,,,Captain Falcon,17,,Richter,,Ryu,24,6,Battlefield,Battlefield,Dream Land GB,,,,,,,,,
,,,,,Captain Falcon,,,,,,25,5,Battlefield,No Hazards,Venom,,,,,,,,,
,,,,,Captain Falcon,18,,Samus,Blue,Pac-Man,26,4,Battlefield,Battlefield,Jungle Japes,,,,,,,,,
,,,,,Captain Falcon,19,Gold,Captain Falcon,,Ness,27,"0 to 0 at time,
SD Lose",Battlefield,Omega,Delfino Plaza,Time,,,,,,,,
,,,,,Captain Falcon,20,Green,Ness,,Ryu,28,4,Battlefield,Omega,Reset Bomb Forest,,,,,,,,,
,,,,,Captain Falcon,21,Pink,Little Mac,,Roy,29,6,Battlefield,Battlefield,Norfair,,,,,,,,,
,,,,,Captain Falcon,22,Purple,Cloud,Gray,Incineroar,30,5,Battlefield,Battlefield,Yoshi's Island M,,,,,,,,,
,,,,,Captain Falcon,23,Blue,Ike,,Simon,31,3,Battlefield,Battlefield,Boxing Ring,,,,,,,,,
,,,,,Peach,24,White,Donkey Kong,,Lucario,32,4,Battlefield,Battlefield,Wuhu Island,,,,,,,,,
,,,,,Peach,25,White,Incineroar,White,Little Mac,33,4,Battlefield,Regular,Fourside,,,,,,,,,
,,,,,Peach,26,,Ken,,Samus,34,6,Battlefield,Battlefield,Distant Planet,,,,,,,,,
,,,,,Peach,27,,Ike,,Mewtwo,35,4,Battlefield,No Hazards?,Big Battlefield,,,,,,,,,
,,,,,Peach,28,,Yoshi,,Samus,36,6,Battlefield,Battlefield,Pilotwings,,,,,,,,,
,,,,,Daisy,29,Green,Ike,Brown,Mewtwo,37,3,Battlefield,Battlefield,Kongo Jungle M,,,,,,,,,
,,,,,Daisy,30,,Mario,,Sheik,38,5,Battlefield,Battlefield,Arena Ferox,,,,,,,,,
,,,,,Daisy,31,Olive,Chrom,Purple,Donkey Kong,39,4,Battlefield,Regular,Bridge of Eldin,,,,,,,,,
,,,,,Daisy,32,Red,Corrin,Red,Peach,40,4,Battlefield,Battlefield,Mushroom Kingdom 2,,,,,,,,,
,,,,,Daisy,33,Green,Incineroar,Gray,Dark Samus,41,6,Battlefield,Battlefield,Shadow Moses Island,,,,,,,,,
,,,,,Dr. Mario,34,,Simon,,Shulk,42,5,Battlefield,Battlefield,Flat Zone,,,,,,,,,
,,,,,Dr. Mario,35,Purple,Ganondorf,Purple,Donkey Kong,43,4,Battlefield,Omega,Corneria,,,,,,,,,
,,,,,Dr. Mario,36,Gold,Marth,Pink,Captain Falcon,44,3,Battlefield,Battlefield,Fourside,,,,,,,,,
,,,,,Dr. Mario,37,Deity,Link,Black,Samus,45,4,Battlefield,Battlefield,Coliseum,,,,,,,,,
,,,,,Dr. Mario,,,,,,46,6,Battlefield,Battlefield,Reset Bomb Forest,,,,,,,,,
,,,,,Dr. Mario,38,Blue,King Dedede,Purple,Incineroar,47,5,Battlefield,No Hazards?,Mario Galaxy,,,,,,,,,
,,,,,Dr. Mario,39,,Ganondorf,Black,Wolf,48,4,Battlefield,Battlefield,75m,,,,,,,,,
,,*,*,,Dr. Mario,40,Skull,Pichu,Black,Snake,49,3,Battlefield,Battlefield,Rainbow Cruise,,,,,,,,,
,,,,,Dr. Mario,41,Leaf,Pokemon Trainer,Green,Ike,50,5,Battlefield,Battlefield,Skyloft,,,,,,,,,
,,,,,Dr. Mario,42,Gold,Richter,Gold,Captain Falcon,51,4,Battlefield,Battlefield,Pokemon Stadium,,,,,,,,,
,,,,,Mr. Game & Watch,43,Black,Snake,,Young Link,52,3 to 2 at time,Battlefield,Omega,Brinstar,3m3s,,,,,,,,
,,,,,Mr. Game & Watch,,,,,,53,3 to 1 at time,Battlefield,Omega,Mario Bros.,3m3s,,,,,,,,
,,,,,Mr. Game & Watch,44,Blue Shorts,Zero Suit Samus,,Kirby,54,4,Battlefield,Battlefield,Rainbow Cruise,,,,,,,,,
,,,,,Mr. Game & Watch,45,,Lucas,Pink,Corrin,55,4,Battlefield,Battlefield,Mushroomy Kingdom,,,,,,,,,
,,,,,Mr. Game & Watch,46,,Incineroar,Purple,Dark Samus,56,6,Battlefield,Battlefield,Distant Planet,,,,,,,,,
,,,,,Mr. Game & Watch,47,Blue M,Wii Fit Trainer,,Link,57,6,Battlefield,Battlefield,3D Land,,,,,,,,,
,,,,,Mr. Game & Watch,48,Orange,Young Link,Orange,Zero Suit Samus,58,3,Battlefield,Battlefield,Hyrule Castle,,,,,,,,,
,,,,,Mr. Game & Watch,49,Gray,King K. Rool,Red,Ridley,59,3,Battlefield,Battlefield,Bridge of Eldin,,,,,,,,,
,,,,,Mr. Game & Watch,,,,,,60,2,Battlefield,Battlefield,Spirit Train,,,,,,,,,
,,,,,Mr. Game & Watch,50,Purple,Richter,Gray,Incineroar,61,4,Battlefield,Battlefield,Wily Castle,,,,,,,,,
,,,,,Pac-Man,51,Black,Dark Samus,Black,Samus,62,4 out of 4,Battlefield,Battlefield,Frigate Orpheon,,,,,,,,,
,,,,,Pac-Man,52,Gold,King K. Rool,Beagle,Duck Hunt,63,6,Battlefield,Battlefield,Reset Bomb Forest,,,,,,,,,
,,,,,Pac-Man,53,,Incineroar,,Ike,64,2,Battlefield,Battlefield,Venom,,,,,,,,,
,,,,,Pac-Man,,,,,,65,4,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,Inkling,54,Purple,Simon,Black,Samus,66,6,Battlefield,Battlefield,Corneria,,,,,,,,,
,,,,,Inkling,,,,,,67,5,Battlefield,Battlefield,Dream Land 64,,,,,,,,,
,,,,,Inkling,55,White,Pokemon Trainer,,King Dedede,68,4,Battlefield,No Hazards,Wuhu Island,,,,,,,,,
,,,,,Inkling,56,Gold,Ridley,,Kirby,69,5,Battlefield,Battlefield,New Donk City Hall,,,,,,,,,
,,,,,King K. Rool,57,Purple,Villager,Blue,Incineroar,70,5,Battlefield,Battlefield,Tomodachi Life,,,,,,,,,
,,,,,King K. Rool,,,,,,71,5,Battlefield,Battlefield,Luigi's Mansion,,,,,,,,,
,,*,*,,King K. Rool,58,,Richter,Black,Corrin,72,+6 to -6,Battlefield,Omega,Peach's Castle,Time,,,,,,,,
,,,,,King K. Rool,,,,,,73,3,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
,,,,,King K. Rool,59,,Villager,Green,Chrom,74,4,Battlefield,Battlefield,Green Greens,,,,,,,,,
,,,,,King K. Rool,,,,,,75,6,Battlefield,Battlefield,3D Land,,,,,,,,,
,,,,,King K. Rool,60,,Ganondorf,,Snake,76,4,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,King K. Rool,61,,Little Mac,,Wolf,77,5,Battlefield,Regular,Wii Fit Studio,I,,,,,,,,
,,,,,King K. Rool,62,,Richter,Pink,Dark Samus,78,4,Battlefield,Battlefield,Pac-Land,,,,,,,,,
,,,,,King K. Rool,63,Black,Ryu,Green,Little Mac,79,6,Battlefield,Battlefield,Yoshi's Island B,,,,,,,,,
,,,,,Lucario,64,Black,Fox,White,Marth,80,5,Battlefield,Battlefield,Corneria,,,,,,,,,
,,,,,Lucario,65,Orange,Young Link,Blue,Peach,81,6,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Lucario,66,White,Young Link,Blue,Captain Falcon,82,6,Battlefield,Regular,Hanenbow,,,,,,,,,
,,,,,Lucario,67,,Pokemon Trainer,Black,Sonic,83,5,Battlefield,Regular,Skyloft,,,,,,,,,
,,,,,Lucario,,,,,,84,3,Battlefield,Battlefield,Fourside,,,,,,,,,
2018-12-10,Ann Arbor,OT,RCS,,Jigglypuff,68,,Shulk,Gray,Incineroar,85,4,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,,,,Jigglypuff,69,Purple,Simon,Black,Cloud,86,4,Battlefield,Omega,Wii Fit Studio,,,,,,,,,
,,,,,Jigglypuff,70,Pink,King K. Rool,Dark,Young Link,87,5,Battlefield,Battlefield,Dream Land GB,,,,,,,,,
,,,,,Jigglypuff,71,Deity,Link,,Ice Climbers,88,6,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,Jigglypuff,72,Green,Bayonetta,Dark,Kirby,89,6,Battlefield,Battlefield,Mute City,,,,,,,,,
,,,,,Jigglypuff,73,,Simon,Purple,Fox,90,6,Battlefield,Regular,Green Greens,I,,,,,,,,
,,,,,Jigglypuff,,,,,,91,5,Battlefield,Battlefield,Magicant,I,,,,,,,,
,,,,,Jigglypuff,74,,Jigglypuff,,Kirby,92,2 out of 2,Battlefield,Regular,Brinstar,,,,,,,,,
,,,,,Jigglypuff,75,,Ness,,Pikachu,93,+11 to -13,Battlefield,Regular,Town and City,Time,I,,,,,,,
,,,,,Jigglypuff,76,Purple,Marth,Black,Zelda,94,6,Battlefield,Battlefield,Windy Hill Zone,,,,,,,,,
,,,,,Jigglypuff,77,,King K. Rool,White,Ganondorf,95,2,Battlefield,Battlefield,Mute City,,,,,,,,,
,,,,,Jigglypuff,78,Fire,Peach,,Samus,96,5,Battlefield,Battlefield,Mute City,,,,,,,,,
,,,,,Jigglypuff,79,Red,Simon,Blue Shorts,Zero Suit Samus,97,6,Battlefield,Battlefield,Spirit Train,,,,,,,,,
,,,,,Isabelle,80,,Pokemon Trainer,Dark,Kirby,98,5,Battlefield,Regular,Find Mii,,,,,,,,,
,,,,,Isabelle,81,Purple,Luigi,Wedding,Mario,99,4,Battlefield,Battlefield,Super Mario Maker,,,,,,,,,
,,,,,Isabelle,82,Gray,King K. Rool,,King K. Rool,100,3,Battlefield,Battlefield,Hanenbow,,,,,,,,,
,,*,*,,Isabelle,83,Blue,Zelda,Brown,Bowser,101,4,Battlefield,Battlefield,Brinstar,,,,,,,,,
,,,,,Isabelle,84,,Kirby,Dark,Kirby,102,5,Battlefield,Battlefield,Boxing Ring,,,,,,,,,
,,,,,Isabelle,85,,Ness,,Captain Falcon,103,-1,Battlefield,Omega,Castle Siege,,,,,,,,,
,,,,,Isabelle,,,,,,104,2,Battlefield,Omega,Mario Circuit B,,,,,,,,,
,,,,,Isabelle,,,,,,105,5,Battlefield,Battlefield,Skyworld,,,,,,,,,
,,,,,Isabelle,86,Black,Corrin,Green,Lucas,106,4,Battlefield,Omega,Norfair,,,,,,,,,
,,,,,Isabelle,87,Black,Sonic,White,Little Mac,107,2,Battlefield,Battlefield,Magicant,,,,,,,,,
,,,,,Isabelle,88,Magic Hat,Mii Swordfighter,,Kirby,108,4,Battlefield,Battlefield,Kongo Jungle M,,,,,,,,,
,,,,,Isabelle,89,Dark,Kirby,Green,Samus,109,2,Battlefield,Regular,Garden of Hope,,,,,,,,,
,,,,,Lucina,,,,,,110,2,Battlefield,Regular,Town and City,,,,,,,,,
,,,,,Lucina,,,,,,111,3,Battlefield,Regular,Wuhu Island,,,,,,,,,
,,,,,Lucina,90,Purple,Simon,Green/Beige,Link,112,5,Battlefield,Regular,Pirate Ship,,,,,,,,,
,,,,,Lucina,91,,Link,Green/Brown,Link,113,2,Battlefield,Battlefield,75m,,,,,,,,,
,,,,,Lucina,92,Green,Dr. Mario,,Cloud,114,5,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Lucina,93,,Bowser,,Pokemon Trainer,115,4 out of 4,Battlefield,Omega,Coliseum,,,,,,,,,
,,,,,Lucina,,,,,,116,6,Battlefield,Battlefield,Kongo Jungle 64,,,,,,,,,
,,,,,Lucina,94,White,Ness,Green,Zero Suit Samus,117,6,Battlefield,Battlefield,Halberd,,,,,,,,,
,,,,,Lucina,95,,King K. Rool,White,Richter,118,2,Battlefield,Battlefield,Skyworld,,,,,,,,,
,,,,,Lucina,,,,,,119,5,Battlefield,Battlefield,Shadow Moses Island,,,,,,,,,
,,,,,Lucina,96,Dark,Kirby,Gray,Ganondorf,120,2,Battlefield,Battlefield,Venom,,,,,,,,,
,,,,,Lucina,97,Yellow F,Wii Fit Trainer,Cyan,Villager,121,5,Battlefield,No Hazards,Living Room,3m3s,,,,,,,,
,,,,,Lucina,,,,,,122,4 to 1 at time,Battlefield,No Hazards,Brinstar Depths,,,,,,,,,
2018-12-11,Ann Arbor,OT,RCS,,Dr. Mario,98,,Ridley,Dark,Kirby,123,5,Battlefield,Battlefield,Pirate Ship,,,,,,,,,
,,,,,Dr. Mario,,,,,,124,5,Battlefield,Battlefield,Wii Fit Studio,,,,,,,,,
,,,,,Dr. Mario,99,,Kirby,,Samus,125,5,Battlefield,Battlefield,Fourside,,,,,,,,,
,,,,,Dr. Mario,100,White,Zelda,Pink,Donkey Kong,126,+5 to -5,Battlefield,No Hazards,Skyworld,Time,,,,,,,,
,,,,,Dr. Mario,101,,Little Mac,,Daisy,127,5,Battlefield,Battlefield,Port Town Aero Dive,,,,,,,,,
,,,,,Dr. Mario,102,Green Splat2,Mii Brawler,Black,Marth,128,6,Battlefield,Battlefield,75m,,,,,,,,,
,,,,,Dr. Mario,103,Red,Young Link,Blue,Simon,129,4,Battlefield,Battlefield,Gaur Plain,,,,,,,,,
,,,,,Dr. Mario,104,White,Robin,,King Dedede,130,4,Battlefield,Battlefield,Mushroom Kingdom U,,,,,,,,,
,,*,,,Dr. Mario,105,Black,Samus,Black,Dr. Mario,131,4,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Dr. Mario,106,,Bowser,,Inkling,132,2,Battlefield,Omega,Town and City,3m3s,,,,,,,,
,,,,,Wario,107,,Bowser,,Pikachu,133,5,Battlefield,Omega,Garden of Hope,,,,,,,,,
,,,,,Wario,,,,,,134,5,Battlefield,Battlefield,Windy Hill Zone,,,,,,,,,
,,,,,Wario,108,White,Chrom,Purple,Dark Pit,135,3,Battlefield,Battlefield,New Pork City,,,,,,,,,
,,,,,Wario,109,,Yoshi,Blue,Mewtwo,136,4,Battlefield,Battlefield,Spear Pillar,,,,,,,,,
,,,,,Wario,,,,,,137,4,Battlefield,Battlefield,Brinstar,,,,,,,,,
,,,,,Wario,110,,Rosalina & Luma,,Roy,138,6,Battlefield,Battlefield,Yoshi's Island M,,,,,,,,,
,,,,,Wario,111,,Little Mac,Gold,Simon,139,6,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Wario,112,Green,Villager,Green,Falco,140,4,Battlefield,Battlefield,Summit,,,,,,,,,
,,,,,Ryu,113,Green,Mario,Black,Dr. Mario,141,3,Battlefield,Battlefield,Super Mario Maker,,,,,,,,,
,,,,,Ryu,114,,Isabelle,White,Kirby,142,4,Battlefield,Battlefield,Kongo Jungle 64,,,,,,,,,
,,,,,Ryu,115,,Jigglypuff,Ab,Shulk,143,4,Battlefield,Battlefield,Mushroom Kingdom,,,,,,,,,
,,,,,Ryu,116,,Marth,,Lucina,144,4,Battlefield,Battlefield,Pokemon Stadium,,,,,,,,,
,,,,,King K. Rool,117,Pink,King K. Rool,Black,Cloud,145,4,Battlefield,Omega,Yoshi's Story,,,,,,,,,
,,,,,King K. Rool,,,,,,146,3,Battlefield,Omega,The Great Cave Offensive,,,,,,,,,
,,,,,King K. Rool,118,Green/Brown,Link,,Fox,147,2,Battlefield,Battlefield,Wii Fit Studio,,,,,,,,,
,,,,,King K. Rool,119,Red/White,Lucina,White,Simon,148,3,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,King K. Rool,120,Black,Pokemon Trainer,Pink,Little Mac,149,3,Battlefield,Regular,Pirate Ship,I,,,,,,,,
,,,,,King K. Rool,121,Blue,Falco,Ab,Shulk,150,5,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,,,,King K. Rool,122,White,Kirby,Purple,Simon,151,6,Battlefield,Battlefield,Paper Mario,,,,,,,,,
,,,,,King K. Rool,123,Yellow,Inkling,Yellow,Fox,152,5,Battlefield,Battlefield,Halberd,,,,,,,,,
,,,,,King K. Rool,,,,,,153,5,Battlefield,Battlefield,Coliseum,,,,,,,,,
,,,,,King K. Rool,124,Purple,Richter,,Pokemon Trainer,154,6,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,,,,King K. Rool,125,Yellow,Pit,,Lucario,155,2 out of 4,Battlefield,Omega,Battlefield,,,,,,,,,
,,,,,King K. Rool,126,Blonde,Pit,Brown,Samus,156,5,Battlefield,Battlefield,Bridge of Eldin,,,,,,,,,
,,,,,King K. Rool,127,Radiant Dawn,Ike,,Shulk,157,6,Battlefield,Battlefield,Yoshi's Island B,,,,,,,,,
,,,,,King K. Rool,128,Gray,Bowser,Blue,Peach,158,5,Battlefield,Battlefield,Boxing Ring,,,,,,,,,
,,,,,King K. Rool,129,Green/Beige,Link,Orange,Kirby,159,4,Battlefield,Battlefield,Pilotwings,,,,,,,,,
,,,,,King K. Rool,,,,,,160,3,Battlefield,Battlefield,Yoshi's Island 64,,,,,,,,,
,,,,,Pikachu,130,Red,Ridley,Purple,Fox,161,3,Battlefield,Battlefield,Great Bay,,,,,,,,,
,,,,,Pikachu,,,,,,162,3,Battlefield,Omega,Mushroom Kingdom,,,,,,,,,
,,,,,Pikachu,131,Brown,Ken,Radiant Dawn,Ike,163,4,Battlefield,Battlefield,Suzaku Castle,,,,,,,,,
,,,,,Pikachu,132,,Marth,,Donkey Kong,164,6,Battlefield,Battlefield,Pirate Ship,,,,,,,,,
,,,,,Pikachu,,,,,,165,6,Battlefield,Battlefield,Jungle Japes,,,,,,,,,
2018-12-12,Ann Arbor,OT,RCS,,Donkey Kong,133,,Kirby,,Mario,166,4,Battlefield,Battlefield,Duck Hunt,,,,,,,,,
,,,,,Donkey Kong,134,,Palutena,,Kirby,167,3,Battlefield,Battlefield,Mario Bros.,,,,,,,,,
,,,,,Donkey Kong,135,Pink,Corrin,Pink,King K. Rool,168,3,Battlefield,Battlefield,Mushroom Kingdom,,,,,,,,,
,,,,,Donkey Kong,,,,,,169,4,Battlefield,Battlefield,The Great Cave Offensive,,,,,,,,,
,,,,,Donkey Kong,136,Blue,Bowser,,Captain Falcon,170,6,Battlefield,Battlefield,Mushroom Kingdom,,,,,,,,,
,,,,,Donkey Kong,137,,King K. Rool,,Link,171,5,Battlefield,Battlefield,Balloon Fight,,,,,,,,,
,,*,,,Donkey Kong,138,Black,Richter,Yellow,Ness,172,5,Battlefield,Battlefield,Wario Ware Inc.,,,,,,,,,
,,,,,Donkey Kong,139,Red,Mewtwo,Gold,Captain Falcon,173,4,Battlefield,Battlefield,Summit,,,,,,,,,
,,,,,Donkey Kong,140,White,Marth,Gray,Ryu,174,5,Battlefield,Battlefield,Boxing Ring,,,,,,,,,
,,,,,Donkey Kong,141,,Cloud,,Richter,175,6,Battlefield,Omega,Onett,,,,,,,,,
,,,,,Donkey Kong,142,Yellow,Inkling,Radiant Dawn,Ike,176,2,Battlefield,Battlefield,Pokemon Stadium 2,,,,,,,,,
,,,,,Donkey Kong,,,,,,177,4,Battlefield,Regular,Duck Hunt,3m3s,,,,,,,,
,,,,,Jigglypuff,143,Dark,Mewtwo,Gold,Roy,178,2,Battlefield,Battlefield,Spear Pillar,,,,,,,,,
,,,,,Jigglypuff,,,,,,179,3,Battlefield,No Hazards,New Donk City Hall,,,,,,,,,
,,,,,Jigglypuff,144,,Falco,Gray,Lucario,180,5,Battlefield,Battlefield,Spear Pillar,,,,,,,,,
,,,,,Jigglypuff,,,,,,181,5,Battlefield,Battlefield,Find Mii,,,,,,,,,
,,,,,Meta Knight,145,,Wario,,Peach,182,6,Battlefield,Battlefield,Find Mii,,,,,,,,,
,,,,,Meta Knight,146,Ninja,Mii Brawler,,Young Link,183,5,Battlefield,Battlefield,Super Mario Maker,,,,,,,,,
,,,,,Meta Knight,147,,Ike,,Zero Suit Samus,184,5,Battlefield,No Hazards,Yoshi's Island M,I,,,,,,,,
,,,,,Meta Knight,148,Blue,Inkling,,Bowser,185,4,Battlefield,Battlefield,Dream Land 64,,,,,,,,,
,,,,,Meta Knight,149,,Young Link,,Marth,186,4,Battlefield,Battlefield,Pac-Land,,,,,,,,,
,,,,,Meta Knight,,,,,,187,4,Battlefield,Battlefield,Gerudo Valley,,,,,,,,,
,,,,,Meta Knight,150,Dark,Link,Gray,Bowser,188,6,Battlefield,Battlefield,Unova Pokemon League,,,,,,,,,
,,,,,Meta Knight,151,,Donkey Kong,Dark,Link,189,4,Battlefield,Battlefield,Town and City,,,,,,,,,
,,*,,,Meta Knight,152,,Roy,Green,Ike,190,4,Battlefield,Battlefield,Find Mii,,,,,,,,,
,,,,,Meta Knight,,,,,,191,4,Battlefield,Battlefield,Pokemon Stadium,,,,,,,,,
,,,,,Palutena,153,Craft,Yoshi,Blue,Corrin,192,4,Battlefield,Omega,Norfair,,,,,,,,,
,,,,,Palutena,154,,Richter,,Lucario,193,5,Battlefield,Battlefield,Frigate Orpheon,,,,,,,,,
,,,,,Palutena,155,,Cloud,Black,Ike,194,3,Battlefield,Regular,Town and City,,,,,,,,,
,,,,,Palutena,156,,King Dedede,Orange,Young Link,195,3,Battlefield,Battlefield,Dream Land GB,,,,,,,,,
,,,,,Palutena,157,Pink,King Dedede,Pink,King K. Rool,196,4 to 1 at time,Battlefield,Battlefield,Wario Ware Inc.,,,,,,,,,
,,,,,Palutena,158,Gold,Captain Falcon,,Richter,197,3 out of 4,Battlefield,Battlefield,Port Town Aero Dive,,,,,,,,,
,,,,,Palutena,159,,Captain Falcon,,Isabelle,198,5,Battlefield,Battlefield,Dracula's Castle,,,,,,,,,
,,,,,Palutena,160,,Isabelle,Gray,King K. Rool,199,3,Battlefield,Battlefield,Dracula's Castle,,,,,,,,,
,,,,,Palutena,161,Devil,Mii Brawler,Dragon,Mii Brawler,200,3,Battlefield,Battlefield,Town and City,,,,,,,,,
2018-12-13,Ann Arbor,RCS,OT,,Greninja,162,Black,Samus,Craft,Yoshi,201,3,Battlefield,Battlefield,Brinstar,,,,,,,,,
,,,,,Greninja,,,,,,202,4,Battlefield,Battlefield,Reset Bomb Forest,,,,,,,,,
,,,,,Greninja,163,Blue,Pac-Man,Blue,Young Link,203,1,Battlefield,Battlefield,Mushroom Kingdom,,,,,,,,,
,,,,,Greninja,164,,Falco,Libre,Pikachu,204,5,Battlefield,Battlefield,Peach's Castle,,,,,,,,,
,,,,,Greninja,165,White,Ganondorf,Red/White,Lucina,205,5,Battlefield,No Hazards?,Prism Tower,I,,,,,,,,
,,,,,Greninja,166,,Ken,Purple,Sheik,206,4,Battlefield,Battlefield,Mario Circuit B,,,,,,,,,
,,,,,Greninja,,,,,,207,6,Battlefield,Regular,Mario Circuit U,,,,,,,,,
,,,,,Captain Falcon,167,,Ganondorf,,Greninja,208,5,Battlefield,Battlefield,Mario Circuit B,,,,,,,,,First match after update to v1.2.0
,,,,,Captain Falcon,168,Red,Simon,,Richter,209,3,Battlefield,Regular,Yoshi's Island B,,,,,,,,,
,,,,,Captain Falcon,169,Dark,Mewtwo,,Link,210,4,Battlefield,Battlefield,Prism Tower,,,,,,,,,
,,,*,,Captain Falcon,170,White,King K. Rool,Black,Snake,211,-2,Battlefield,Battlefield,Midgar,,,,,,,,,
,,,,,Captain Falcon,,,,,,212,-4,Battlefield,Battlefield,Norfair,,,,,,,,,
,,,,,Captain Falcon,171,Purple,Cloud,,Wolf,213,5,Battlefield,Battlefield,Boxing Ring,,,,,,,,,
,,,,,Captain Falcon,172,,King K. Rool,White,Ridley,214,2 out of 4,Battlefield,Omega,Magicant,,,,,,,,,
,,,,,Captain Falcon,,,,,,215,4,Battlefield,Battlefield,Dream Land GB,,,,,,,,,
,,,,,Isabelle,173,White,Zero Suit Samus,White,Donkey Kong,216,3,Battlefield,Battlefield,Mute City,,,,,,,,,
,,,,,Isabelle,174,,Palutena,,Mii Swordfighter,217,-2,Battlefield,Battlefield,New Pork City,,,,,,,,,
,,,,,Isabelle,,,,,,218,5,Battlefield,Battlefield,Gamer,,,,,,,,,
,,,,,Isabelle,,,,,,219,5,Battlefield,Battlefield,Dream Land 64,,,,,,,,,
,,,,,Isabelle,175,Blue,Ike,Purple,Palutena,220,-4,Battlefield,Battlefield,Brinstar Depths,,,,,,,,,
,,,,,Isabelle,,,,,,221,-3,Battlefield,Battlefield,Battlefield,,,,,,,,,
,,,,,Isabelle,,,,,,222,1,Battlefield,Battlefield,Bridge of Eldin,,,,,,,,,
,,,,,Isabelle,,,,,,223,-3,Battlefield,Battlefield,Halberd,,,,,,,,,
,,,,,Isabelle,,,,,,224,-2,Battlefield,Battlefield,Magicant,,,,,,,,,
,,,,,Isabelle,,,,,,225,-3,Battlefield,Battlefield,Yoshi's Island B,,,,,,,,,
,,,,,Pikachu,176,Pink,Young Link,Pink,Little Mac,226,4,Battlefield,Battlefield,Green Hill Zone,,,,,,,,,
,,,,,Pikachu,177,Yellow,Villager,,Young Link,227,-3,Battlefield,Battlefield,Mario Circuit U,,,,,,,,,
